PoleStudio_Name,Adresse,PLZ,Stadt,Straße,Buttons,Pole Studio Beschreibung,E-Mail,Homepage,Telefon,URL_S,Art,Angebot,Created Date,Updated Date
Health & Shape München,"['Milchstraße 4 ', ' 81667 München']",81667,München,Milchstraße 4,"['Übersicht', 'Klassen', 'Videos', 'Preise', 'Team']","keine ""gewöhnlichen Tanz- & Fitness Kurse"". Poledance, Workouts, Stretchings, Aerial Hoop & High Heels Kurse, Workshops und Ausbildungen. Die optimale Mischung aus Humor, Qualität & Motivation. Familiäre Atmosphäre persönlich und individuell und ohne Massenabfertigung seit 2015. Wir sind ein kuschliges Studio - direkt im Zentrum von München am Rosenheimerplatz - mit viel Wert auf Persönlichkeit. Unsere Kurse sind geprägt von über 10 Jahren Fachwissen aus den verschiedensten Bereichen, wie: Trainingslehre, Tanzmedizin, Aerial Akrobatik, Athletic Training, Anatomie, Sportphysiotherapie, Osteopathie & Naturheilkunde. Deine langfristige Gesundheit liegt uns sehr am Herzen.Dabei bilden unsere Neueinsteiger & Beginner Kurse, in denen du die Grundlagen für den Akrobatischen Sport erlernen kannst, das Herzstück unserer Arbeit - wir möchten Dich fördern anstatt zu überfordern.Genug von uns, wir sind schon super gespannt Dich kennen lernen zu dürfen!", info@health-and-shape.de,http://www.health-and-shape.de/,+49 17661314543,https://www.eversports.de/s/health-and-shape-muenchen,"['Fitness', 'Tanzen', 'Tanzen', 'Pilates', 'Pilates', 'Fitness', 'Fitness', 'Pilates', 'Poledance', 'Power Pole', '39 Rezensionen', 'Fitness', 'Pilates', 'Tanzen', 'Turnen', 'Yoga', 'Poledance', 'Ballett', 'Zirkeltraining', 'Personal Training', 'Physiotherapie', 'Akrobatik', 'Power Pole', 'Stretching', 'Handstand', 'Lapdance', 'Chairdance', 'Aerial Dance', 'Aerial Hoop', 'Aerial Akrobatik', 'Polesport', 'Calisthenics', 'Mobility', 'Therapie', 'Weiterbildung', 'Heilpraktik', 'Osteopathie', 'Tanz-Therapie', 'Twerken', 'Animal Flow', 'Frame Up', 'Progressive Calisthenics', 'Push Hands', 'Funktionelles Training', 'Persönliches Coaching', 'Ballett-Fitness', 'Dance Fitness', 'Striptease', 'Strip Plastic', 'Pole handstand', 'Gerätturnen', 'Body Conditioning für Tänzer:innen', 'Aerial Hammock']",2 Angebote für Neukund:innen,2024-02-17 18:34:39,2024-02-17 18:34:39
YH Pole (and) Sports Berlin,"['Erkelenzdamm 59 ', ' 10999 Berlin']",10999,Berlin,Erkelenzdamm 59,"['Übersicht', 'Klassen', 'Preise', 'Team']","Das YH Pole (and) Sports ist das Studio der Weltmeisterin Yvonne Haug im Pole Sport und Pole Acrobatic. Lerne Pole Dance, Pole Sport von der Weltmeisterin und ihren lieben Trainerinnen mitten in Berlin im schönen Kreuzberg am Erkelenzdamm 59 im Elizabeth Hof. Das Studio befindet sich inmitten des charmanten Elizabeth Hofes. Die Umgebung ist lebendig und geschäftig, sie spornt an, Leistung zu bringen und zwar für dich! Es ist das Bestreben der Trainerinnen mit Spaß und Professionalität dich zu fördern und dir den Pole Sport / Pole Dance mit Begeisterung näher zu bringen. Die hohen Stangen sind auch für Doubles und Profis geeignet. Gerne wird dir auch Training am Hoop angeboten. Schau unbedingt vorbei ins YH Pole (and) Sports.", team@pole-and-sports.de,http://yvonne-haug-pole-and-sports.de/,+491638262787,https://www.eversports.de/s/yh-pole-and-sports-berlin,"['Poledance', 'Aerial Hoop', 'Fitness', 'Poledance', 'Poledance', 'Power Pole', 'Fitness', 'Poledance', 'Personal Training', 'Power Pole', '38 Rezensionen', 'Fitness', 'Poledance', 'Personal Training', 'Power Pole', 'Aerial Hoop', 'Polesport']",1 Angebot für Neukund:innen,2024-02-17 18:34:46,2024-02-17 18:34:46
Poleart_Inspiration,"['Allgäuer Straße 12 ', ' 87700 Memmingen']",87700,Memmingen,Allgäuer Straße 12,['Übersicht'],"Diese Sportanlage bietet eine Vielzahl an Sportarten an. Sieh dir das breite Angebot der Anlage an, wie z.B. Sportplätze, Klassen, Trainings, Workshops, Camps, etc. Finde weitere Informationen wie Bewertungen, Standort, Preise, Lehrer:innen und Trainer:innen, sowie FAQs weiter unten.",,,,https://www.eversports.de/s/poleart_inspiration,"['(Noch keine Bewertungen)', 'Poledance']",,2024-02-17 18:34:49,2024-02-17 18:34:49
Nisa Verticals,"['Jungholzstraße 8', ' 76726 Germersheim']",76726,Germersheim,Jungholzstraße 8,['Übersicht'],"Fitness und Poledance sind deine Passionen oder könnten es werden? Dann komme ins Nisa Verticals Poledance-Studio in Germersheim am Rhein zwischen Mannheim und Karlsruhe und erlebe in einer wundervoll angenehmen Atmosphäre deine Liebe zu Poledance und Fitness. Hier findest du dein Ganzkörpertraining, das dich so sein lässt wie du bist und dir gleichzeitig Möglichkeiten eröffnet wie du deine Poledance-Fähigkeiten steigern, an deinen persönlichen Zielen arbeiten und ein verbessertes Selbstwert- und Körpergefühl erlangen kannst. Komme ins Nisa Verticals und erlebe schon bald ein gesteigertes körperliches Wohlbefinden!", pole@nisaverticals.de,http://nisaverticals.de,017669824488,https://www.eversports.de/s/nisa-verticals,"['8 Rezensionen', 'Fitness', 'Krafttraining', 'Poledance', 'Tanzen', 'Yoga', 'Kindersport', 'Polesport', 'Heels', 'Stretching', 'Aerial Dance']",2 Angebote für Neukund:innen,2024-02-17 18:34:55,2024-02-17 18:34:55
Flow Academy,"['Pfarrer-Weiß-Weg 16', ' 89077 Ulm']",89077,Ulm,Pfarrer-Weiß-Weg 16,"['Übersicht', 'Klassen', 'Preise', 'Team']",Dein Studio für Poledance und Flexibility., info@flowacademy-ulm.de,,+49 15165181566,https://www.eversports.de/s/flow-academy,"['Poledance', '3 Rezensionen', 'Poledance']",1 Angebot für Neukund:innen,2024-02-17 18:34:59,2024-02-17 18:34:59
PoleSpirit,"['Adlerstraße 242 ', ' 86633 Neuburg an der Donau']",86633,Neuburg,Adlerstraße 242,"['Übersicht', 'Klassen', 'Workshops', 'Preise', 'Team']","PoleDance ist Balsam für die Seele und lässt uns lebendig werden. Es ist Fitness, Gymnastik, Tanz und Akrobatik in einem. PoleDance ist eine hervorragende Methode, um den Körper zu formen, stärken und Kalorien zu verbrennen. Dank regelmäßiger Bewegung verbesserst du deine Koordination und Kondition. Wir wollten eine Community schaffen, die die Kraft der Bewegung so sehr liebt wie wir.Jeder unserer Teilnehmer soll die Stunde mit positiver Energie und Freude verlassen.", anita.uhlemann@yahoo.de,http://www.polespirit.de,+49 1732757667,https://www.eversports.de/s/polespirit,"['Poledance', 'Poledance', 'Online Klasse', '(Noch keine Bewertungen)', 'Zumba', 'Poledance', 'Stretching', 'Polesport', 'Twerken', 'Pole Contempo', 'Aktivitäten für Kinder']",Zum Stundenplan,2024-02-17 18:35:04,2024-02-17 18:35:04
Polesition Regensburg,"['Rebhuhnstraße 4', ' 93326 Abensberg']",93326,Abensberg,Rebhuhnstraße 4,['Übersicht'],"Polesition Regensburg bietet Kurse in Poledance und Dance sowie Aerial Classes. In dem 300 qm liebevoll eingerichteten Studio wird Frauen aller Altersgruppen und jeglicher Figur das Tanzen beigebracht, denn Tanzen ist vor allem eine Frage der Sinnlichkeit. Hier findest du die richtige Mischung aus Tanz, Akrobatik und Fitness. Neben Poledance, Dance und Aerial Classes werden auch Flying Yoga, Deepwork, Bodyart, Stretch & Flex und Faszibility angeboten.", office@polesition-regensburg.de,http://www.polesition-regensburg.de,,https://www.eversports.de/s/polesition-regensburg,"['27 Rezensionen', 'Pilates', 'Tanzen', 'Poledance', 'Personal Training', 'Aerial Yoga', 'Gruppenangebote', 'Faszientraining', 'Tagestarife', 'Stretching', 'Floorwork', 'Lapdance', 'Chairdance', 'Aerial Dance', 'Aerial Hoop']",2 Angebote für Neukund:innen,2024-02-17 18:35:16,2024-02-17 18:35:16
INDEED UNIQUE - Studio Wien,"['Kranzgasse 9 ', ' 1150 Wien']",1150,Wien,Kranzgasse 9,"['Übersicht', 'Klassen', 'Kurse', 'Preise', 'Team']","Unser Tanzstudio verfügt über 2 Tanzsäle, eines mit etwa 100, das andere mit etwa 90 Quadratmetern. Das Studio wurde vor kurzer Zeit renoviert und besitzt über die gesamte Fläche eine Fußbodenheizung, moderne Sanitäranlagen sowie eine Küchenzeile. Im Aufenthaltsbereich befindet sich zudem eine Couch mit Flatscreen + DVD Player. Beide Säle verfügen über Dolby Surround Musik-Anlagen (Audio IN: 3,5 mm Klinkenstecker, Bluetooth Connection), längsseitig sowie breitseitig verspiegelte Wände und Ballettstangen. Jedes Studio hat außerdem einen eigenen Eingang, benutzt wird aber größtenteils der Haupteingang über das Stiegenhaus. Es zwei separate WC's und eine Dusche. Weiters haben wir Sportmatten, einen Tumblingboden (15 x 2m), eine Klimmzugstange, eine Airtrack (3 x 1m), eine Kindermatte mit Tunnel & Zelt. Eigens für unsere jüngeren Gäste haben wir eine Spielecke mit einem selbstgebauten Kletterdreieck + Rutsche (Pikler). Zusätzlich verfügen wir über ein Thomann E-Piano mit Pedalen (inkl. Kopfhörer).", indeed.unique@gmail.com,https://www.indeedunique.com/,+43 677 64391543,https://www.eversports.de/s/indeed-unique-studio-wien,"['Tanzen', 'Tanzen', 'Tanzen', 'Tanzen', 'Tanzen', '2 Rezensionen', 'Tanzen']",Zum Stundenplan,2024-02-17 18:35:20,2024-02-17 18:35:20
a heart for poledance,"['Nußbaumer Straße 6', ' 51469 Bergisch Gladbach']",51469,Bergisch,Nußbaumer Straße 6,['Übersicht'],"Diese Sportanlage bietet eine Vielzahl an Sportarten an. Sieh dir das breite Angebot der Anlage an, wie z.B. Sportplätze, Klassen, Trainings, Workshops, Camps, etc. Finde weitere Informationen wie Bewertungen, Standort, Preise, Lehrer:innen und Trainer:innen, sowie FAQs weiter unten.", info@aheartforpoledance.de,,+4915735519129,https://www.eversports.de/s/a-heart-for-poledance,"['(Noch keine Bewertungen)', 'Poledance']",,2024-02-17 18:35:24,2024-02-17 18:35:24
Anni's Pole-Dance Neumünster,"['Kieler Straße 52 ', ' 24534 Neumünster']",24534,Neumünster,Kieler Straße 52,"['Übersicht', 'Klassen', 'Trainings', 'Kurse', 'Team']","Hallo lieber Schüler,schön, dass du zu mir gefunden hast. Du suchst ein Hobby, welches dir Spaß bringt und deine allgemeine Fitness stärkt? Dann bist du hier genau richtig!Unser Angebot:Art of PoleContemporary PoleExotic PoleAerial HoopChair DanceTechnik-Trainingfreies TrainingWorkshopsJunggesellinnenabschiedUnd das für jedes Level! Bei mir findet jeder etwas :)Über das Studio:100 qm Kursraum9 Stangen8 Aerial Hoopsviele kostenlose ParkplätzeÜber euren Kurs: Anmeldung zu einem bestimmten Level, Tag & UhrzeitMöglichkeit im gebuchten Level zwischen verschiedenen Tagen zu wechseln, sofern das Level mehrmals angeboten wirdopen Training (nutze den Raum kostenlos bis zu 3x pro Woche)", anni@annis-poledance.de,https://www.annis-poledance.de/,+49 15253821082,https://www.eversports.de/s/annis-pole-dance-neumuenster,"['Poledance', 'Handstand', 'Handstand', 'Poledance', 'Poledance', 'Aerial Hoop', 'Chairdance', 'Poledance', 'Poledance', '4 Rezensionen', 'Fitness', 'Poledance', 'Handstand', 'Chairdance', 'Aerial Dance', 'Aerial Hoop', 'Twerken', 'Exotic', 'HIIT the Beat', 'Contemporary Dance', 'Stärkung/Flexibilität', 'Shuffle Dance']",Zum Stundenplan,2024-02-17 18:35:27,2024-02-17 18:35:27
Firstsports - Polefitness,"['Halberstädter Straße 17 ', ' 39112 Magdeburg']",39112,Magdeburg,Halberstädter Straße 17,['Übersicht'],"Herzlich Willkommen bei Firstsports Polefitness aus Magdeburg. 
Im Herzen von Magdeburg findest Du hier das einzige, tägliche Angebot an Polefitness- und Aerialsportarten der Stadt. Die liebevollen und hochmotivierten Trainerinnen begeistern Dich für ganz besondere Sportarten. Sie legen viel Wert auf individuelle Betreuung und qualitative Trainings, vor allem mit Spaß und einer Menge Lerneffekten. Die Teilnehmerinnen schätzen besonders die persönliche Atmosphäre und die herzliche Betreuung durch das Trainerteam. 
Du kommst ganz bequem mit den öffentlichen Verkehrsmitteln sowie Fahrrad oder Auto zum Firstsports - Polefitness Studio.", polefitness@firstsports.de,http://www.firstsports-polefitness.de,+4917660163383,https://www.eversports.de/s/firstsports-polefitness,"['39 Rezensionen', 'Acroyoga', 'Aerial Akrobatik', 'Aerial Dance', 'Aerial Hoop', 'Aerial Silk', 'Aerial Yoga', 'Bootcamp', 'Fitness', 'Kinderyoga', 'Online Klasse', 'Poledance', 'Polesport', 'Selbstverteidigung', 'Yoga']",4 Angebote für Neukund:innen,2024-02-17 18:35:32,2024-02-17 18:35:32
X-Step Berlin,"['Tempelhofer Ufer 36', ' 10963 Berlin']",10963,Berlin,Tempelhofer Ufer 36,['Übersicht'],"✓ Über 30 Sportarten & mehr als 60 Kurse pro Woche ✓ Trainingsschule seit 1996 im Herzen von Berlin Kreuzberg ✓ Professionelles Training in familiärer Atmosphäre
Die familiäre Atmosphäre auf 640 m² macht Lust auf Urlaub und lässt den Alltag schon beim Umziehen vergessen. Unsere Schule besteht aus vier Trainingsräumen und einem Kraftbereich. Die Holzschwingböden sorgen für ein gelenkschonendes Training. Ballettstangen, Matten und der Gerätebereich bieten beste Vorraussetzungen für jede Sportart.
Entdecke jetzt die Vielfalt der Trainingsschule X-Step – dein Wohlfühl-Ort für Bewegung im Herzen von Berlin Kreuzberg direkt am Gleisdreieck Park!", mail@x-step.de,,+49 030 2616925,https://www.eversports.de/s/x-step-berlin,"['30 Rezensionen', 'Boxen', 'Fitness', 'Kampfsport', 'Tanzen', 'Pilates', 'Yoga', 'Zumba', 'Capoeira', 'Hip Hop', 'Poledance', 'Taekwondo', 'Ballett', 'Eskrima', 'Selbstverteidigung', 'Zirkeltraining', 'Rückenfit', 'Akrobatik', 'Afrikanischer Tanz', 'Raumvermietung', 'Orientalischer Tanz / Bauchtanz', 'Stretching', 'Handstand', 'CANTIENICA®-Methode', 'Kindersport', 'Kindertanz', 'Streetdance', 'Tribal Fusion', 'Reggaeton', 'Kindertraining', 'Jugendtraining', 'Box & Kick', 'Dehnung/Flexibilität', 'Moderner Jazz-Tanz', 'Twerken', 'Dancehall', 'House Dance', 'Jazztanz', 'Contemporary Dance', 'Rückenschule', 'Stärkung/Flexibilität']",4 Angebote für Neukund:innen,2024-02-17 18:35:42,2024-02-17 18:35:42
Cheesy Heaven,"['Papenstieg 2 ', ' 38442 Wolfsburg']",38442,Wolfsburg,Papenstieg 2,"['Übersicht', 'Klassen', 'Workshops', 'Videos', 'Preise', 'Team']","Wir heißen Dich herzlich willkommen im Aerial Sport Studio für Pole Dance, Aerial Hoop, Aerial Hammock und Aerial Silk. Zu unserem Konzept gehören außerdem Fitness- und Stretchingkurse. Unser familiäres Studio verbindet kleine Gruppen mit persönlichen Trainings und legt Wert auf eine besonders entspannte Atmosphäre.Wir haben das Ziel, dass auch das Miteinander beim Sport im Vordergrund steht. Gleichgesinnte des Luftsports lernen neben Choreos und Tricks auch, sich gegenseitig zu unterstützen. Dabei bedarf es keiner Voraussetzung; egal welches Geschlecht oder Alter, ob Anfänger oder Fortgeschrittene, wir finden für jede Sportart dein passendes Angebot. Unsere geschulten Trainer fördern dich dabei individuell nach deinen Bedürfnissen und Wünschen!Wir freuen uns auf deinen Besuch! :)", info@cheesyheaven.de,http://cheesyheaven.de,+49 1626479563,https://www.eversports.de/s/cheesy-heaven,"['Aerial Silk', 'Aerial Dance', 'Fitness', 'Poledance', 'Aerial Silk', 'Personal Training', 'Poledance', 'Personal Training', 'Fitness', 'Poledance', '10 Rezensionen', 'Fitness', 'Yoga', 'Poledance', 'Aerial Yoga', 'Personal Training', 'Stretching', 'Aerial Silk', 'Aerial Dance', 'Aerial Hoop', 'Aerial Akrobatik', 'Polesport', 'Bungee Fitness', 'Aktivitäten für Kinder', 'Aerial Hammock', 'Aerial Sling']",1 Angebot für Neukund:innen,2024-02-17 18:35:48,2024-02-17 18:35:48
poda Studio,"['Martinstraße 10-12 ', ' 52062 Aachen']",52062,Aachen,Martinstraße 10-12,"['Übersicht', 'Klassen', 'Workshops', 'Videos', 'Preise', 'Team']","Flieg mit uns! Poda ist das größte Pole Dance & Luftakrobatik Studio in Aachen und der Euregio. Neben Pole Dance / Pole Sport Kursen bieten wir auch Luftakrobatik, Tanzkurse wie Chair Dance, High Heels & Floorwork sowie Fitness, Yoga und Flexibility Kurse ohne Stange und Online Kurse an. Ob Probestunden, Karten oder Memberships, Privatstunden, Workshops, Pole Parties, Junggesellinnen - Abschiede oder Pole Shows - wir haben für jeden das richtige Angebot.", info@podastudio.de,https://www.podastudio.de/,+49241 95719917,https://www.eversports.de/s/poda-studio,"['Fitness', 'Yoga', 'Fitness', 'Yoga', 'Tanzen', 'Fitness', 'Fitness', 'Yoga', 'Fitness', 'Yoga', '52 Rezensionen', 'Fitness', 'Tanzen', 'Yoga', 'Poledance', 'Personal Training', 'Akrobatik', 'Power Pole', 'Stretching', 'Floorwork', 'Chairdance', 'Aerial Silk', 'Aerial Dance', 'Aerial Hoop', 'Aerial Akrobatik', 'Polesport', 'Online Klasse', 'Bodybalance', 'Workout', 'Dehnung/Flexibilität', 'Twerken', 'Luftartistik']",1 Angebot für Neukund:innen,2024-02-17 18:36:05,2024-02-17 18:36:05
Studio Nienke,"['Het Sander 43 ', ' 7522 AL Enschede']",7522,AL,Het Sander 43,"['Übersicht', 'Klassen', 'Kurse', 'Preise', 'Team']","Bij Studio Nienke wordt al ruim 15 jaar met veel passie, kennis en vreugde dans- en paaldansles gegeven. Gezelligheid en een plek waar leden zich goed, gewaardeerd en prettig voelen staat voorop. Bij ons is iedereen gelijkwaardig. Hard werken in combinatie met veel plezier hebben is het motto.", info@studio-nienke.nl,http://www.studionienke.nl,+31 654347545,https://www.eversports.de/s/studio-nienke,"['Fitness', 'Tanzen', 'Fitness', 'Tanzen', 'Poledance', 'Tanzen', 'Tanzen', 'Fitness', 'Poledance', '43 Rezensionen', 'Fitness', 'Tanzen', 'Poledance']",Zum Stundenplan,2024-02-17 18:36:19,2024-02-17 18:36:19
The Basement - Pole Dance and Movement,"['Christian-Pleß-Straße 11-13', ' 63069 Offenbach']",63069,Offenbach,Christian-Pleß-Straße 11-13,['Übersicht'],"Das Studio The Basement - Pole Dance and Movement liegt in unmittelbarer Nähe des Hauptbahnhof Offenbach. Es ist ein Ort für alle, die sich für das Tanzen an der Stange interessieren. Hier werden Kurse für alle Niveaus angeboten. Poledance wird hier nicht nur als neue Fitnessvariante gesehen, sondern vielmehr als eine Technik. um Selbstbewusstsein, Leidenschaft und ein gutes Körpergefühl zu fördern.", info@the-basement.eu,http://the-basement.eu/,,https://www.eversports.de/s/the-basement-pole-dance-and-movement,"['36 Rezensionen', 'Tanzen', 'Poledance', 'Online Klasse']",1 Angebot für Neukund:innen,2024-02-17 18:36:36,2024-02-17 18:36:36
Aerial Loft,"['Solitudestraße 48 ', ' 71638 Ludwigsburg']",71638,Ludwigsburg,Solitudestraße 48,"['Übersicht', 'Klassen', 'Kurse', 'Workshops', 'Events', 'Ausbildungen', 'Videos', 'Preise', 'Team']","Du interessierst dich für Aerial Fitness wie Pole Dance oder Akrobatik mit dem Hoop? Dann nutze jetzt die Gelegenheit und komm vorbei.Bitte beachte für die Teilnahme an den Kursen unsere geltenden Hygieneregeln: https://aerial-loft.de/studio/#hygiene-hinweiseWachse im Aerial Loft über dich hinaus und erlebe das Gefühl von Tanz und Akrobatik vereint. Vergiss dabei die Alltagssorgen und schüttel den Stress einfach ab. Im Aerial Loft wirst du von einem professionellen Team betreut und kannst in einem Modernen und komplett ausgestatteten Studio trainieren, das dir neben den vielen Aerial-Kursen auch viele Yoga-Kurse bietet. Ob Fortgeschritten, Anfänger oder kompletter Neuling, es gibt den perfekten Kurs für jedermann. Wirf einen Blick in unseren Stundenplan oder sprich das Team direkt an.", info@aerial-loft.de,http://www.aerial-loft.de,01733429658,https://www.eversports.de/s/aerial-loft,"['Poledance', 'Aerial Yoga', 'Poledance', 'Personal Training', 'Personal Training', 'Poledance', 'Personal Training', 'Poledance', 'Poledance', 'Personal Training', '62 Rezensionen', 'Yoga', 'Hip Hop', 'Poledance', 'Aerial Yoga', 'Ballett', 'Personal Training', 'Krafttraining', 'Stretching', 'Aerial Silk', 'Aerial Dance', 'Aerial Hoop', 'Polesport', 'Dehnung/Flexibilität', 'Ballett-Fitness']",1 Angebot für Neukund:innen,2024-02-17 18:36:43,2024-02-17 18:36:43
Polemotions Filderstadt,"['Tübinger Straße 10 ', ' 70794 Filderstadt']",70794,Filderstadt,Tübinger Straße 10,"['Übersicht', 'Klassen', 'Preise', 'Team']","Komm vorbei und lerne zu fliegen!Bei Polemotions erwartet Dich mehr als wunderschöne Luftakrobatik. Wir sind eine Community voller unterschiedlicher Menschen, die alle nichts lieber tun als gemeinsam durchs Studio zu fliegen - aber jede:r auf seine eigene Art.Wir lieben alle Facetten und Stile von Pole Dance. Du willst etwas Neues versuchen, dich mehr bewegen, abschalten, etwas Besonderes ausprobieren, auf der Bühne stehen, tanzen und die Welt um dich vergessen, selbstbewusster werden und eine neue Seite von dir entdecken? Egal, was dein Grund ist zu uns ins Studio zu kommen - jeder Grund ist der richtige um Pole Dance anzufangen und wir freuen uns auf Dich!Werde Teil unserer Polemotions Family und lass dich von unserem Luftakrobatik-Fieber anstecken.", info@polemotions.de,https://polemotions.de/,,https://www.eversports.de/s/polemotions-filderstadt,"['Poledance', 'Krafttraining', 'Handstand', 'Handstand', 'Poledance', 'Poledance', 'Poledance', '43 Rezensionen', 'Poledance', 'Krafttraining', 'Stretching', 'Handstand', 'Heels', 'Online Klasse']",1 Angebot für Neukund:innen,2024-02-17 18:36:57,2024-02-17 18:36:57
Polearize,"['Rottstraße 6 ', ' 44793 Bochum']",44793,Bochum,Rottstraße 6,"['Übersicht', 'Klassen', 'Workshops', 'Preise', 'Team']","Das Poledance-Studio Polearize liegt mitten im Herzen von Bochum und ist fußläufig vom Hauptbahnhof erreichbar. Die Anfängerkurse beginnen immer mit den absoluten Grundlagen. Du musst vorher weder sportlich sein noch tänzerische Vorerfahrung haben. Wenn Du schon länger Pole Dance tanzt, findest Du in den höheren Leveln die passende Herausforderung. Polearize liebt Sport und die Trainer geben alles, damit Du Dich wohl fühlst und Dich jedes Mal auf das Training freuen kannst. Mit Fachwissen und jahrelanger Erfahrung unterstützen wir Dich dabei, Deine Ziele effektiv und auf gesunde Weise zu erreichen. Außer Pole Dance wird auch Aerial Hoop, Stretching, Chairdance und Twerk angeboten.", info@polearize.de,https://www.polearize.de/,+49 01636331603,https://www.eversports.de/s/polearize,"['Poledance', 'Tanzen', 'Poledance', 'Stretching', 'Tanzen', 'Poledance', 'Poledance', 'Stretching', 'Tanzen', 'Yoga', '77 Rezensionen', 'Tanzen', 'Yoga', 'Poledance', 'Bootcamp', 'Stretching', 'Lapdance', 'Chairdance', 'Aerial Hoop']",3 Angebote für Neukund:innen,2024-02-17 18:37:01,2024-02-17 18:37:01
The Pole Lounge,"['Goethestraße 6b ', ' 39108 Magdeburg']",39108,Magdeburg,Goethestraße 6b,"['Übersicht', 'Klassen', 'Kurse', 'Preise', 'Team']","Pole Dance ist für alle geeignet!Pole Dance ist die perfekte Sportart für alle, die Kraft aufbauen möchten, beweglicher werden wollen oder einfach Lust auf akrobatisches Tanzen haben. Voraussetzungen gibt es eigentlich keine.", info@polelounge.de,http://www.polelounge.de,+49 1734575394,https://www.eversports.de/s/the-pole-lounge,"['Poledance', 'Poledance', 'Poledance', 'Poledance', 'Poledance', '47 Rezensionen', 'Poledance']",Zum Stundenplan,2024-02-17 18:37:11,2024-02-17 18:37:11
Yoga and Pole Art by Selina,"['Zum Wingert 10 ', ' 53783 Eitorf']",53783,Eitorf,Zum Wingert 10,"['Übersicht', 'Klassen', 'Workshops', 'Videos', 'Preise', 'Team']","Willkommen bei Yoga and Pole Art by Selina – deinem Online Studio für ein ganzheitliches und gesundheitsorientiertes Erlebnis von Yoga und Pole Sport!Tauche ein in eine Welt der Bewegung, Flexibilität und Stärke, die in meinen Live Klassen, Intensivkursen, Workshops und im Personal Training zum Leben erwacht.Mein vielfältiges Angebote umfasst:Yoga KurseHatha Yoga: Klassisches Yoga, um Körper und Geist zu harmonisieren.Vinyasa Yoga: Dynamische Sequenzen, die Atem und Bewegung verbinden.Yin Yoga: Entspanntes Yoga für tiefe Dehnung und innere Ruhe.Yoga Wheel Flow: Neue und ergänzende Sequenzen gemeinsam mit dem Yoga RadAerial Yoga: Schwereloses Yoga in der Luft für ein einzigartiges Erlebnis.Pole Sport KursePole Trick Training: Meistere neue und bekannte Pole Tricks.Pole Technik Training: Verfeinere deine Pole Trick Technik.Spinning Pole Combos: Lerne Schwungpunkte und weitere Techniken an der Spinning Pole kennen.Flexi Pole Tricks: Erlerne wunderbare Flexi Pole Tricks die z.B. Spagat und Backbends erfordern.Low Pole Flow: Lerne Flows kennen, die sich am Boden rund um die Pole abspielen.Krafttraining:Krafttraining und Trainingsperiodisierung: Strukturiertes Krafttraining für nachhaltige Ergebnisse an der Pole und im privaten sportlichen Bereich.Krafttraining an der Stange: Kräftige deinen Körper mithilfe der Pole und weiterem Equipment Tauche ein in meine Welt der Tricks, Flows und Techniken, gestaltet von mir, einer erfahrenen Trainerin und Künstlerin.Meine Live Klassen bieten dir die Möglichkeit zur direkten Interaktion, während unsere 24-Stunden-Aufzeichnungen es dir ermöglichen, flexibel zu trainieren – ganz nach deinem eigenen Zeitplan.Zusätzlich stehen dir eine Fülle von Aufzeichnungen und Video-Kursen im Bereich Pole Sport und Yoga zur Verfügung, um deine Fähigkeiten zu vertiefen und dein Training individuell zu gestalten.Erlebe die Synergie von Yoga und Pole Sport, entdecke deine körperlichen Möglichkeiten neu und gestalte deine eigene Reise zu mehr gesundheitsorientierten Training, Wohlbefinden und Stärke.", yogaandpoleartbyselina@gmail.com,http://www.yogaandpoleartbyselina.com,+49 15738925807,https://www.eversports.de/s/yoga-and-pole-art-by-selina,"['Aerial Yoga', 'Poledance', '55 Rezensionen', 'Poledance', 'Aerial Yoga', 'Personal Training', 'Meditation', 'Handstand', 'Vinyasa Yoga', 'Hatha Yoga', 'Yin Yoga', 'Polesport', 'Dehnung/Flexibilität', 'Yoga Rad', 'Yoga Wheel', 'Persönliches Coaching']",1 Angebot für Neukund:innen,2024-02-17 18:37:16,2024-02-17 18:37:16
Polestation Academy,"['Marktstraße 20b ', ' 6971 Hard']",6971,Hard,Marktstraße 20b,"['Übersicht', 'Klassen', 'Videos', 'Preise', 'Team']","Polestation Academy ist ein Ort für Pole und Aerial Arts. Das vielseitige Angebot umfaßt aber weitaus mehr. Unsere Stunden sind nicht nur für Polebegeisterte interessant. Unter anderem bieten wir auch Flexibilitytrainings und Workouts (HIIT, Bodyshape...) an. Wir befinden uns in Hard mitten im Zentrum und nur wenige Gehminuten zum See.Weitere Angebote sind: Kids und Teenie Polefitness Kurse, Schnupperlektionen nach Absprache, Privatstunden und Polterevents.In unserem Studio herrscht eine schöne und unkomplizierte Atmosphäre. Alle Frauen egal in welchem Alter sind bei uns herzlich willkommen!", blum.n@gmx.at,http://www.polestation.com,+43 6642006568,https://www.eversports.de/s/polestation-academy,"['Poledance', 'Poledance', 'Poledance', 'Poledance', 'Poledance', '13 Rezensionen', 'Poledance']",Zum Stundenplan,2024-02-17 18:37:33,2024-02-17 18:37:33
